City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
189,pacific grove,36.6177,-121.9166,22.72,80,0,4.02,US,1717516598
190,chandbali,20.7833,86.7667,31.07,75,89,6.12,IN,1717516598
191,harstad,68.799,16.5293,14.02,63,4,6.26,NO,1717516598
192,ad dawadimi,24.5077,44.3924,41.64,8,0,2.66,SA,1717516598
193,fort bragg,35.139,-79.006,31.01,65,0,2.06,US,1717516599
194,kismayo,-0.3582,42.5454,25.97,81,5,5.52,SO,1717516599
195,dryden,49.7833,-92.7503,21.16,68,20,2.57,CA,1717516598
196,gonen,40.1049,27.654,31.98,45,4,1.87,TR,1717516479
197,mandera,3.9366,41.867,32.16,42,100,5.28,KE,1717516599
198,badger,64.8,-147.5333,14.49,71,40,1.54,US,1717516599
199,whangarei,-35.7317,174.3239,14.32,92,100,3.08,NZ,1717516600
200,luang prabang,19.8856,102.1347,24.13,99,63,0.64,LA,1717516600
201,mountain home,43.133,-115.6912,16.9,46,0,3.58,US,1717516600
202,nishinoomote,30.7333,131.0,22.41,60,72,4.44,JP,1717516600
203,kone,-21.0595,164.8658,23.28,90,99,0.79,NC,1717516600
204,beloyarskiy,63.7119,66.6722,12.3,73,82,2.77,RU,1717516600
205,lata,40.1629,-8.3327,24.49,37,100,4.54,PT,1717516601
206,gamba,-2.65,10.0,26.48,67,24,3.76,GA,1717516601
207,xining,36.6167,101.7667,12.56,62,20,0.97,CN,1717516601
208,enewetak,11.3474,162.3373,26.97,87,100,10.9,MH,1717516601
209,maceio,-9.6658,-35.7353,27.69,94,75,3.6,BR,1717516535
210,san luis,-33.295,-66.3356,13.93,38,100,2.02,AR,1717516506
211,dudinka,69.4058,86.1778,-1.85,92,100,2.24,RU,1717516602
212,jiayuguan,39.8167,98.3,19.34,25,7,2.6,CN,1717516602
213,ceres,37.5949,-120.9577,26.56,67,0,4.63,US,1717516602
214,ulan bator,47.9077,106.8832,19.07,32,20,2.0,MN,1717516384
215,sitges,41.2351,1.8119,27.62,51,97,2.68,ES,1717516436
216,saint-jean-de-monts,46.7833,-2.0667,16.75,79,51,4.86,FR,1717516603
217,jaguariaiva,-24.2511,-49.7058,19.51,64,88,2.97,BR,1717516603
218,vila real,41.3006,-7.7441,26.18,31,4,5.39,PT,1717516603
219,borogontsy,62.6683,131.1683,6.72,66,11,1.75,RU,1717516603
220,mumford,5.2618,-0.759,28.49,77,100,3.9,GH,1717516603
221,ulsteinvik,62.3432,5.8487,12.5,88,100,4.02,NO,1717516604
222,antonina,-25.4286,-48.7119,19.82,85,100,0.22,BR,1717516604
223,laukaa,58.7372,29.8453,22.56,55,94,2.59,RU,1717516604
224,karratha,-20.7377,116.8463,20.63,42,0,4.55,AU,1717516604
225,utrik,11.2278,169.8474,28.04,81,100,9.97,MH,1717516604
226,carnarvon,-24.8667,113.6333,20.12,45,0,6.48,AU,1717516605
227,tura,25.5198,90.2201,24.01,94,2,2.15,IN,1717516605
228,nyurba,63.2842,118.3319,11.52,97,73,1.44,RU,1717516605
